пакет,версия,лицензия,поставка
@alloc/quick-lru,5.3.0,MIT,нет
@babel/code-frame,7.29.7,MIT,нет
@babel/compat-data,7.29.7,MIT,нет
@babel/core,7.29.7,MIT,нет
@babel/generator,7.29.8,MIT,нет
@babel/helper-compilation-targets,7.29.7,MIT,нет
@babel/helper-globals,7.29.7,MIT,нет
@babel/helper-module-imports,7.29.7,MIT,нет
@babel/helper-module-transforms,7.29.7,MIT,нет
@babel/helper-string-parser,7.29.7,MIT,нет
@babel/helper-validator-identifier,7.29.7,MIT,нет
@babel/helper-validator-option,7.29.7,MIT,нет
@babel/helpers,7.29.7,MIT,нет
@babel/parser,7.29.8,MIT,нет
@babel/template,7.29.7,MIT,нет
@babel/traverse,7.29.8,MIT,нет
@babel/types,7.29.8,MIT,нет
@block65/webcrypto-web-push,2.0.0,MIT,да
@drizzle-team/brocli,0.10.2,Apache-2.0,нет
@emnapi/core,1.10.0,MIT,нет
@emnapi/runtime,1.10.0,MIT,да
@emnapi/runtime,1.11.3,MIT,да
@emnapi/wasi-threads,1.2.1,MIT,нет
@esbuild-kit/core-utils,3.3.2,MIT,нет
@esbuild-kit/esm-loader,2.6.5,MIT,нет
@esbuild/aix-ppc64,0.25.12,MIT,нет
@esbuild/aix-ppc64,0.28.2,MIT,нет
@esbuild/android-arm,0.18.20,MIT,нет
@esbuild/android-arm,0.25.12,MIT,нет
@esbuild/android-arm,0.28.2,MIT,нет
@esbuild/android-arm64,0.18.20,MIT,нет
@esbuild/android-arm64,0.25.12,MIT,нет
@esbuild/android-arm64,0.28.2,MIT,нет
@esbuild/android-x64,0.18.20,MIT,нет
@esbuild/android-x64,0.25.12,MIT,нет
@esbuild/android-x64,0.28.2,MIT,нет
@esbuild/darwin-arm64,0.18.20,MIT,нет
@esbuild/darwin-arm64,0.25.12,MIT,нет
@esbuild/darwin-arm64,0.28.2,MIT,нет
@esbuild/darwin-x64,0.18.20,MIT,нет
@esbuild/darwin-x64,0.25.12,MIT,нет
@esbuild/darwin-x64,0.28.2,MIT,нет
@esbuild/freebsd-arm64,0.18.20,MIT,нет
@esbuild/freebsd-arm64,0.25.12,MIT,нет
@esbuild/freebsd-arm64,0.28.2,MIT,нет
@esbuild/freebsd-x64,0.18.20,MIT,нет
@esbuild/freebsd-x64,0.25.12,MIT,нет
@esbuild/freebsd-x64,0.28.2,MIT,нет
@esbuild/linux-arm,0.18.20,MIT,нет
@esbuild/linux-arm,0.25.12,MIT,нет
@esbuild/linux-arm,0.28.2,MIT,нет
@esbuild/linux-arm64,0.18.20,MIT,нет
@esbuild/linux-arm64,0.25.12,MIT,нет
@esbuild/linux-arm64,0.28.2,MIT,нет
@esbuild/linux-ia32,0.18.20,MIT,нет
@esbuild/linux-ia32,0.25.12,MIT,нет
@esbuild/linux-ia32,0.28.2,MIT,нет
@esbuild/linux-loong64,0.18.20,MIT,нет
@esbuild/linux-loong64,0.25.12,MIT,нет
@esbuild/linux-loong64,0.28.2,MIT,нет
@esbuild/linux-mips64el,0.18.20,MIT,нет
@esbuild/linux-mips64el,0.25.12,MIT,нет
@esbuild/linux-mips64el,0.28.2,MIT,нет
@esbuild/linux-ppc64,0.18.20,MIT,нет
@esbuild/linux-ppc64,0.25.12,MIT,нет
@esbuild/linux-ppc64,0.28.2,MIT,нет
@esbuild/linux-riscv64,0.18.20,MIT,нет
@esbuild/linux-riscv64,0.25.12,MIT,нет
@esbuild/linux-riscv64,0.28.2,MIT,нет
@esbuild/linux-s390x,0.18.20,MIT,нет
@esbuild/linux-s390x,0.25.12,MIT,нет
@esbuild/linux-s390x,0.28.2,MIT,нет
@esbuild/linux-x64,0.18.20,MIT,нет
@esbuild/linux-x64,0.25.12,MIT,нет
@esbuild/linux-x64,0.28.2,MIT,нет
@esbuild/netbsd-arm64,0.25.12,MIT,нет
@esbuild/netbsd-arm64,0.28.2,MIT,нет
@esbuild/netbsd-x64,0.18.20,MIT,нет
@esbuild/netbsd-x64,0.25.12,MIT,нет
@esbuild/netbsd-x64,0.28.2,MIT,нет
@esbuild/openbsd-arm64,0.25.12,MIT,нет
@esbuild/openbsd-arm64,0.28.2,MIT,нет
@esbuild/openbsd-x64,0.18.20,MIT,нет
@esbuild/openbsd-x64,0.25.12,MIT,нет
@esbuild/openbsd-x64,0.28.2,MIT,нет
@esbuild/openharmony-arm64,0.25.12,MIT,нет
@esbuild/openharmony-arm64,0.28.2,MIT,нет
@esbuild/sunos-x64,0.18.20,MIT,нет
@esbuild/sunos-x64,0.25.12,MIT,нет
@esbuild/sunos-x64,0.28.2,MIT,нет
@esbuild/win32-arm64,0.18.20,MIT,нет
@esbuild/win32-arm64,0.25.12,MIT,нет
@esbuild/win32-arm64,0.28.2,MIT,нет
@esbuild/win32-ia32,0.18.20,MIT,нет
@esbuild/win32-ia32,0.25.12,MIT,нет
@esbuild/win32-ia32,0.28.2,MIT,нет
@esbuild/win32-x64,0.18.20,MIT,нет
@esbuild/win32-x64,0.25.12,MIT,нет
@esbuild/win32-x64,0.28.2,MIT,нет
@eslint-community/eslint-utils,4.10.1,MIT,нет
@eslint-community/regexpp,4.12.2,MIT,нет
@eslint/config-array,0.21.2,Apache-2.0,нет
@eslint/config-helpers,0.4.2,Apache-2.0,нет
@eslint/core,0.17.0,Apache-2.0,нет
@eslint/eslintrc,3.3.7,MIT,нет
@eslint/js,9.39.4,MIT,нет
@eslint/object-schema,2.1.7,Apache-2.0,нет
@eslint/plugin-kit,0.4.1,Apache-2.0,нет
@floating-ui/core,1.8.0,MIT,да
@floating-ui/dom,1.8.0,MIT,да
@floating-ui/react-dom,2.1.9,MIT,да
@floating-ui/utils,0.2.12,MIT,да
@humanfs/core,0.19.2,Apache-2.0,нет
@humanfs/node,0.16.8,Apache-2.0,нет
@humanfs/types,0.15.0,Apache-2.0,нет
@humanwhocodes/module-importer,1.0.1,Apache-2.0,нет
@humanwhocodes/retry,0.4.3,Apache-2.0,нет
@img/colour,1.1.0,MIT,да
@img/sharp-darwin-arm64,0.35.4,Apache-2.0,да
@img/sharp-darwin-x64,0.35.4,Apache-2.0,да
@img/sharp-freebsd-wasm32,0.35.4,Apache-2.0,да
@img/sharp-libvips-darwin-arm64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-darwin-x64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-arm,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-arm64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-ppc64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-riscv64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-s390x,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-x64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linuxmusl-arm64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linuxmusl-x64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-linux-arm,0.35.4,Apache-2.0,да
@img/sharp-linux-arm64,0.35.4,Apache-2.0,да
@img/sharp-linux-ppc64,0.35.4,Apache-2.0,да
@img/sharp-linux-riscv64,0.35.4,Apache-2.0,да
@img/sharp-linux-s390x,0.35.4,Apache-2.0,да
@img/sharp-linux-x64,0.35.4,Apache-2.0,да
@img/sharp-linuxmusl-arm64,0.35.4,Apache-2.0,да
@img/sharp-linuxmusl-x64,0.35.4,Apache-2.0,да
@img/sharp-wasm32,0.35.4,Apache-2.0 AND LGPL-3.0-or-later AND MIT,да
